Citation_Text,Sentiment,Source
Some tasks can thrive on a nearly pure diet of unlabeled data  .,1,original
Strong evidence exists suggesting that impairment of astrogliosis improves axonal growth and improves functional outcomes following brain injury  .,1,original
"Overall, combined with the known QOL benefits of physical activity for other cancer survivor populations  , the current study results suggest that interventions that successfully promote lung cancer survivors’ engagement in physical activity may increase their QOL in several domains.",1,original
"Moreover, comparable results were obtained in an in vivo imaging study on mice, which was performed with the highly resolving U-SPECT  IBZM binding relative to baseline.",1,original
"For the IBM models defined by a pioneering paper  , a decoding algorithm based on a left-to-right search was described in  .",1,original
An especially well-founded framework for doing this is maximum entropy  .,1,original
"2.2 Maximum Entropy Models Maximum entropy   models  , also known as 928 log-linear and exponential learning models, provide a general purpose machine learning technique for classification and prediction which has been successfully applied to natural language processing including part of speech tagging, named entity recognition etc. Maximum entropy models can integrate features from many heterogeneous information sources for classification.",1,original
"Recent several years have witnessed the rapid development of system combination methods based on confusion networks  ), which show state-of-theart performance in MT benchmarks.",1,original
"2 Previous Work So far, Structural Correspondence Learning has been applied successfully to PoS tagging and Sentiment Analysis  .",1,original
China’s role in Apple’s global supply chain   have received a great deal of attention.,1,original
"Results using the method show an improvement from 25.2% Bleu score to 26.8% Bleu score  , using a phrase-based system   which has been shown in the past to be a highly competitive SMT system.",1,original
"The classification is performed with a statistical approach, built around the maximum entropy   principle  , that has the advantage of combining arbitrary types of information in making a classification decision.",1,original
"The IBM models have shown good performance in machine translation, and especially so within certain families of languages, for example in translating between French and English or between Sinhalese and Tamil  .",1,original
"The Inversion Transduction Grammar or ITG formalism, described in  , is well suited for our purposes.",1,original
"To reflect the social characteristics of users, we adopt the Indian Buffet Model proposed in  , the author has already proved the model perfectly fits the real data in the simulation.",1,original
"This well-established rhythm of swimming on ebb tides is the basis for the spawning migration  , in which ovigerous female blue crabs migrate seaward from estuaries to coastal areas where larvae are released.",1,original
Such a method alleviates the problem of creating templates from examples which would be used in an ulterior phase of generation  .,1,original
Head-lexicalized stochastic grammars have recently become increasingly popular  .,1,original
"1 Introduction Large scale annotated corpora, e.g., the Penn TreeBank   project  , have played an important role in text-mining.",1,original
"Discriminative models do not only have theoretical advantages over generative models, as we discuss in Section 2, but they are also shown to be empirically favorable over generative models when features and objective functions are fixed  .",1,original
5.3 Comparison with System Combination We re-implemented a state-of-the-art system combination method  .,1,original
The steps of octasaccharide synthesis and modification are well-defined genetically  .,1,original
The current state-of-the-art is to use minimum error rate training   as described in  .,1,original
"Recently, Ponzetto and Strube   suggest to mine semantic relatedness from Wikipedia, which can deal with the data sparseness problem suffered by using WordNet.",1,original
1 Introduction The best performing systems for many tasks in natural language processing are based on supervised training on annotated corpora such as the Penn Treebank   and the prepositional phrase data set first described in  .,1,original
"Thus, as a powerful sequence tagging model, CRF became the dominant method in the Bakeoff 2006  .",1,original
"Clearly a more sophisticated feature selection routine such as the ones in  , or   would be required in this case.",1,original
"Among these, nanocarbons are now considered the most promising fillers for the development of high performance materials  .",1,original
"4 Conclusions Compared with other word alignment algorithms  , word_align does not require sentence alignment as input, and was shown to produce useful alignments for small and noisy corpora.",1,original
A few widely-used peak callers include MACS  .,1,original
"2.3 Classifier Training We chose maximum entropy   as our primary classifier, since it had been successfully applied by the highest performing systems in both the SemEval-2007 preposition sense disambiguation task   and the general word sense disambiguation task  .",1,original
"Two metrics have become quite popular in multi-document summarization, namely the Pyramid method   and ROUGE  .",1,original
The best result known to us is achieved by Toutanova .,1,original
Ramshaw and Marcus   successflflly applied Eric Brill's transformation-based learning method to the chunking problem.,1,original
"Annotated reference corpora, such as the Brown Corpus  , the Penn Treebank  , and the BNC  , have helped both the development of English computational linguistics tools and English corpus linguistics.",1,original
014 roviding important information for surgical management nd postoperative outcomes for patients with ERM.  pectral-domain OCT   is a new technology that has een demonstrated recently.,1,original
Bayesian approaches can also improve performance  .,1,original
"Among them one of the most widely used is the residual network    , which uses short cut to alleviate training difficulties of very deep networks.",1,original
"Global information is known to be useful in other NLP tasks, especially in the named entity recognition task, and several studies successfully used global features  .",1,original
"Similar models have been successfully applied in the past to other tasks including parsing  , chunking  , and machine translation  .",1,original
1 Introduction The emergence of phrase-based statistical machine translation     has been one of the major developments in statistical approaches to translation.,1,original
of the most important is Lins  ,1,original
This scoring function has been successfully applied to resolve ambiguity problems in an English-to-Chinese machine translation system     and a spoken language processing system  .,1,original
"Collins and Roark   saw a LFMS improvement of 0.8% over their baseline discriminative parser after adding punctuation features, one of which encoded the sentence-final punctuation.",1,original
MP measurements were obtained with a modified confocal scanning laser ophthalmoscope     using autofluorescence images obtained at two excitation-wavelength based on the pioneering work of Delori et al.,1,original
More recent work has achieved state-of-the-art results with Maxi101 mum entropy conditional Markov models    .,1,original
"Force feedback   has been shown to increase the usability and to decrease the cognitive workload during the surgery, as reflected in faster learning curves  .",1,original
"Since its introduction to the Natural Language Processing   community  , ME-based classifiers have been shown to be effective in various NLP tasks.",1,original
"Following initial work by   and  , an early, online distributional thesaurus presented in   has been widely used and cited, and numerous authors since have explored thesaurus properties and parameters: see survey component of  .",1,original
"Local feature descriptors   have been extensively studied, especially since the seminal works by Schmid and Mohr   and Lowe  .",1,original
"In terms of applying non-parametric Bayesian approaches to NLP, Haghighi and Klein   evaluated the clustering properties of DPMMs by performing anaphora resolution with good results.",1,original
"In the statistical NLP community, the most widely used grammatical resource is the Penn Treebank  .",1,original
"Recently, sentiment classification has become popular because of its wide applications  .",1,original
"Demonstration of intrathecal immunoglobulin and antibody synthesis are powerful tools for diagnosis of neurological disorders, as has been shown for multiple sclerosis and several infectious diseases of the CNS  .",1,original
"By sharing common infixes of target patterns  , the memory usage in the match vectors could be efficient.",1,original
"For instance, Kazama and Torisawa   used the hyponymy relations extracted from Wikipedia for the English NER, and reported improved accuracies with such a gazetteer.",1,original
"Low-tube-voltage techniques have been investigated for coronary  , and similar image quality compared to standard-tube-voltage acquisition with reduced radiation dose and contrast media requirements has been reported.",1,original
Other works based on this scheme like   have shown promising results.,1,original
"Adding resistance exercise, however, appears more useful than moderate aerobic exercise alone in protecting diet-induced losses in LBM  .",1,original
"Weusemaximumentropy models  , which are particularly well-suited for tasks   with many overlapping features, to harness these linguistic insights by using features in our models which encode, directly or indirectly, the linguistic correlates to SE types.",1,original
"1 Introduction In recent years, Bracketing Transduction Grammar   proposed by   has been widely used in statistical machine translation  .",1,original
"The results are quite promising: our extraction method discovered 89% of the WordNet cousins, and the sense partitions in our lexicon yielded better  values   than arbitrary sense groupings on the agreement data.",1,original
Lysine diisocyanate based degradable polyurethanes have been found to be biocompatible materials with potential uses in drug delivery systems  .,1,original
"For source coding and rate-distortion coding problems, polar codes have been shown to be competitive with the state-of-the-art methods  .",1,original
The first experimental contribution to unravelling the molecular mechanism of CRISPR processing came from Escherichia coli studies  .,1,original
"Since human evaluation is costly and difficult to do reliably, a major focus of research has been on automatic measures of MT quality, pioneered by BLEU   and NIST  .",1,original
"However, the only known work which automates part of a customer service center using natural language dialogue is the one by Chu-Carroll and Carpenter  .",1,original
Encouraging analytic results and some Monte Carlo simulations of the CP 1 model have been reported in  .,1,original
"This was expected, as it has been observed before that very simple smoothing techniques can perform well on large data sets, such as web data  .",1,original
The recent approach for editing extracted text spans   may also produce improvement for our algorithm.,1,original
"To compare the output of their shallow parser with the output of the well-known Collins   parser, Li and Roth applied the chunklink conversion script to extract the shallow constituents from the output of the Collins parser on WSJ section 00.",1,original
Annual public expenditure on home-care services tripled from €102.3 million in 2001   to €331 million in 2008  .,1,original
"NAC at 5–20 mM has been shown to block HIV infection, particularly at the step of transcription  .",1,original
"As a result, the good results of   with large seed sets do not immediately imply success with small seed sets.",1,original
"Discriminative learning methods, such as Maximum Entropy Markov Models  , Projection Based Markov Models  , Conditional Random Fields  , Sequence AdaBoost  , Sequence Perceptron  , Hidden Markov Support Vector Machines   and Maximum-Margin Markov Networks  , overcome the limitations of HMMs.",1,original
"Among the various knowledge-based   and data-driven   word sense disambiguation methods that have been proposed to date, supervised systems have been constantly observed as leading to the highest performance.",1,original
"As in previous studies, injury severity was stratified using the discharge diagnosis ICD-9ebased ICISS scoring system, which has been shown to outperform other scoring systems in predicting injury mortality and is particularly suited for the study of administrative databases.  The definition of severely injured patients was chosen to match that in several preceding studies that focused on the survival advantage of severely injured patients treated at DTCs in Florida.",1,original
"Perhaps the most widely accepted convention is that of ignoring punctuation for the purposes of assigning constituent span, under the perspective that, fun788 Phrase Evaluation Scenario System Type       Modified All 98.37 99.72 99.72 Truth VP 92.14 98.70 98.70 Li and Roth All 94.64   VP 95.28 Collins   All 92.16 93.42 94.28 VP 88.15 94.31 94.42 Charniak All 93.88 95.15 95.32   VP 88.92 95.11 95.19 Table 1: F-measure shallow bracketing accuracy under three different evaluation scenarios:   baseline, used in Li and Roth  , with original chunklink script converting treebank trees and context-free parser output;   same as  , except that empty subject NPs are inserted into every unary SVP production; and   same as  , except that punctuation is ignored for setting constituent span.",1,original
"  used bootstrapping to train decision list classifiers to disambiguate between two senses of a word, achieving impressive classification accuracy.",1,original
"It was rolled out nationally in 2006 with funding of €55 million, after being successfully piloted in a small number of locations between 2001 and 2004  .",1,original
"Extracting semantic information from word co-occurrence statistics has been effective, particularly for sense disambiguation  .",1,original
We note that better performance has been reported with the use of more image features  .,1,original
"CLL has then been applied to a corpus of declarative sentences from the Penn Treebank   on which it has been shown to perform comparatively well with respect to much less psychologically plausible systems, which are significantly more supervised and are applied to somewhat simpler problems.",1,original
"• Even more efficient pure TSP heuristics such as the Lin-Kernighan heuristic    , using the LKH implementation (Helsgaun, 2000, http://www.",1,original
"We carried out automatic evaluation of our summaries using ROUGE   toolkit, which has been widely adopted by DUC for automatic summarization evaluation.",1,original
"Perhaps more importantly, discriminative models have been shown to offer competitive performance on a variety of sequential and structured learning tasks in NLP that are traditionally tackled via generative models , such as letter-to-phoneme conversion  , semantic role labeling  , syntactic parsing  , language modeling  , and machine translation  .",1,original
"A variety of classifiers have been employed for this task  , the most popular being decision lists   and naive Bayesian classifiers  .",1,original
"In machine translation, confusion-network based combination techniques  ) have achieved the state-of-theart performance in MT evaluations.",1,original
  has proved to be a simple yet powerful observation and has been successfully used in word sense disambiguation   and related tasks  ; Agirre and Rigau The author was partially funded by GALE DARPA Contract No.,1,original
"1 Introduction A hypergraph, as demonstrated by Huang and Chiang  , is a compact data-structure that can encode an exponential number of hypotheses generated by a regular phrase-based machine translation   system (e.g., Koehn et al.",1,original
"In an experiment on 16,800 sentences of Chinese-English newswire text with segment-level human evaluation from the Linguistic Data Consortium?s   Multiple Translation project, we compare the LFG-based evaluation method with other popular metrics like BLEU, NIST, General Text Matcher    , Translation Error Rate    1, and METEOR  , and we show that combining dependency representations with synonyms leads to a more accurate evaluation that correlates better with human judgment.",1,original
We chose this amplitude as it has been successfully used to elicit a female response in choice experiments  .,1,original
"Then, we apply a grow-diag-final algorithm which is widely used in bilingual phrase extraction   to monolingual alignments.",1,original
"Many techniques for bone defatting are described in the literature, including mechanical cleaning with water or air jet,  acetone ⁄ ethanol solution,  enzyme detergents,  hydrogen peroxide,  aqueous sodium hydroxide,  and sodium hypochlorite  .  We adopted the latter technique, because it has been found suitable for formalinized specimens,  is safe for personnel and is very low cost.",1,original
"Discriminative methods such as Conditional Random Fields    , Semi-Markov Random Fields  , and perceptrons   have been popular approaches for sequence labeling because of their excellent performance, which is mainly due to their ability to incorporate many kinds of overlapping and non-independent features.",1,original
"While the former is piecewise constant and thus cannot be optimized using gradient techniques, Och   provides an approach that performs such training efficiently.",1,original
"In addition, there are continued new developments in lowcost, light-weight, and long-duration UAVs  .",1,original
"Another attractive property of the voted perceptron is that it can be used with kernels, for example the kernels over parse trees described in  .",1,original
"Collins   improves the F1 score from 88.2% to 89.7%, while Charniak and Johnson   improve from 90.3% to 91.4%.",1,original
A simulated annealing-based heuristic approach has been developed to solve the NP-complete problem in a computationally efficient manner  .,1,original
"In addition, consistent with the result of our preclinical study, recent clinical study showed that alectinib was also highly active against ALK-positive NSCLC patients after treatment with crizotinib  .",1,original
"1 Introduction Statistical approaches to machine translation, pioneered by  , achieved impressive performance by leveraging large amounts of parallel corpora.",1,original
The translation quality is evaluated using a well-established automatic measure: BLEU score  .,1,original
"On the Hansards data, the simple averaging technique described by Collins   yields a reasonable model.",1,original
"In pursuit of better translation, phrase-based models  havesignificantlyimprovedthe quality over classical word-based models  .",1,original
"This is an important feature from the MT viewpoint, since the decomposition into translation model and language model proved to be extremely useful in statistical MT since  .",1,original
There is also substantial work in the use of target-side syntax  .,1,original
"From a strategic viewpoint, layered modular architectures have the competitive advantage, as well as the challenge, in being doubly distributed  .",1,original
"In recent years, laparoscopy has become the gold-standard for the treatment of ovarian endometriotic cysts  .",1,original
"2.3 The Averaged Perceptron Reranking Model Averaged perceptron   has been successfully applied to several tagging and parsing reranking tasks  , and in this paper, we employed it in reranking semantic parses generated by the base semantic parser SCISSOR.",1,original
The Actigraph accelerometer   has been extensively and successfully used to assess physical activity in children in both small   epidemiological studies.,1,original
ne of the most notable examples is Yarowskys   bootstrapping algorithm for word sense disambiguation,1,original
Among the grammar formalisms successfully put into use in syntaxbased SMT are synchronous context-free grammars     and synchronous treesubstitutiongrammars  .,1,original
"A recent study in northern Vietnam, in which researchers used participatory methods when introducing an educational programme for community health leaders, demonstrated promising results in learning capacity, and the health leaders expressed enthusiasm for this mode of gaining knowledge  .",1,original
"We also note that there are a number of bootstrapping methods successfully applied to text  e.g., word sense disambiguation  , named entity instance classification  , and the extraction of parts word given the whole word  .",1,original
microcapillary electrophoretic RNA separation   showed higher sensitivity for the assessment of RNA quality  .,1,original
2 Related Work Supervised machine learning methods including Support Vector Machines   are often used in sentiment analysis and shown to be very promising  .,1,original
"Maximum entropy taggers have been shown to be highly competitive on a number of tagging tasks, such as partof-speech tagging  , and namedentity recognition (Borthwick et.",1,original
Data on the occurrence of the principal mycotoxins on foods and beverages are increasing due to the availability and use of modern and sensitive LC–MS/MS and GC–MS/MS methodologies suitable for simultaneous determination of mycotoxins  .,1,original
4 Experiments Phrase-based SMT systems have been shown to outperform word-based approaches  .,1,original
"This is possible because the generation time is shorter, the genetic material can be manipulated easily and the cultural conditions can be optimized easily  .",1,original
"3 Parsing Exact inference in ISBN models is not tractable, but effective approximations were proposed in  .",1,original
"The simple slice sampler is a specialised type of MCMC auxiliary variable method   that has been popularised by Neal  , Fishman  , and Damien, Wakefield, and Walker  .",1,original
1 Introduction IBM Model 1   is a wordalignment model that is widely used in working with parallel bilingual corpora.,1,original
" , Pedersen  , Yarowsky and Florian  ) as well as maximum entropy models  , Klein and Manning  ) in particular have shown a large degree of success for WSD, and have established challenging state-of-the-art benchmarks.",1,original
"Variants of this method have been successfully used in many NLP tasks, like shallow processing  , parsing   and word alignment  .",1,original
The state of the art technology for relation extraction primarily relies on pattern-based approaches  .,1,original
A number of studies report positive results using a combination of strategies to treat adolescents  .,1,original
One of the most essential advantages of the chosen SSFR test for obtaining parameters of electrical machine is the fact that parameter identification of both axes may be carried out separately without interaction between the direct and quadrature axis  .,1,original
The default synthetic voice that we used featured a well established corpus-based prosodic model  .,1,original
Confusion network and re-decoding have been well studied in the combination of different MT systems  .,1,original
They have made semantic formalisms like those now usually associated with Davison   attractive in artificial intelligence for many years  .,1,original
"Currently, with advances in radiotherapeutic, chemotherapeutic, and surgical techniques, limb-salvage surgery has become an accepted treatment  .",1,original
"Signals inspector such as oscilloscope, image processing library such as OpenCV, pattern matching algorithm   are integrated and ready-to-use to support that informal design technique.",1,original
"3.5 Anaphoricity Determination Finally, several coreference systems have successfully incorporated anaphoricity determination 660 modules   and Bean and Riloff  ).",1,original
"Polar coding has also proven to be a versatile coding method capable of achieving the information-theoretic limits in a wide range of source and channel coding problems; for a representative list of such work, we cite  .",1,original
"In the classic work on SMT,Brownandhiscolleagues atIBMintroduced the notion of alignment between a sentence f and its translation e and used it in the development of translation models  .",1,original
"We conclude by noting that English language models currently used in speech recognition   and automated language translation   are much more powerful, employing, for example, 7-gram word models   trained on trillions of words.",1,original
"Statistical techniques developed for lexicalized grammars  , readily apply to CCG to improve the average parsing performance in large-scale practical applications  .",1,original
"The power of ConSurf, in comparison to other popular alternatives based on consensus and relative entropy approaches, is that the evolutionary rates are estimated based on the phylogenetic relationships among the homologues and the specific dynamics of the analysed sequences using advanced probabilistic evolutionary models  .",1,original
Several investigations represented both occurrence and severity of CIN were well correlated with improved survivals in various cancers  .,1,original
"Compared to earlier word-based methods such as IBM Models  , phrasebased methods such as PHARAOH are much more effective in producing idiomatic translations, and are currently the best performing methods in SMT  .",1,original
"3.2 Comparison between SVM, Bootstrapping and LP For WSD, SVM is one of the state of the art supervised learning algorithms  , while bootstrapping is one of the state of the art semi-supervised learning algorithms  .",1,original
This was recently followed by   who introduce state-of-the-art nearly unlexicalized PCFG parsers.,1,original
is results may be improved if more sophisticated methods and larger corpora are used to establish similarity between words  ,1,original
"Coming from the other direction, such observations about phrase reordering between different languages are precisely thekindsoffactsthatparsingapproachestomachine translation are designed to handle and do successfully handle  .",1,original
486 One of the most popular instantiations of loglinear models is that including phrase-based   models  .,1,original
illmann and Zhang   avoided the problem by precomputing the oracle translations in advance,1,original
"Other alternatives include an extension of the well-known   evolution strategy   for mixed integer problems, MIES   and the covariance matrix adaptation evolutionary strategy CMA-ES  .",1,original
"5 Comparison with Previous Top Systems and Related Work In POS tagging, the previous best performance was reported by   as summarized in Table 7.",1,original
"The full model yields a stateof-the-art BLEU   score of 0.8506 on Section 23 of the CCGbank, which is to our knowledge the best score reported to date 410 using a reversible, corpus-engineered grammar.",1,original
The success of recent high-quality parsers   relies on the availability of such treebank corpora.,1,original
"The algorithm is based on the Machine Learning method for word categorisation, inspired by the well known study on basic-level categories \ .",1,original
  reported very high results   for unsupervised POS tagging using Hidden Markov Models   by exploiting hand-built tag dictionaries and equivalence classes.,1,original
Word segmentation and POS tagging in a joint process have received much attention in recent research and have shown improvements over a pipelined fashion  .,1,original
"For comparison purposes, three additional heuristically-induced alignments are generated for each system:   Intersection of both directions  );   Union of both directions  ); and   The previously bestknown heuristic combination approach called growdiag-final    ).",1,original
" , is fast and simple to apply as positioning and irradiation can be performed in a short time.",1,original
"The CSC for the visual acuity < 3/60 was 35% in the 1981 NBS  , Also, the implantation of intraocular lenses in cataract surgery has resulted in better visual outcomes.",1,original
"1 Introduction Over the past decade, there has been tremendous progress on learning parsing models from treebank data  .",1,original
"The data sets we use are publicly available from two widely used knowledge graphs, WordNet  .",1,original
e also use Cube Pruning algorithm   to speed up the translation process,1,original
"2 Treebanking The Penn Treebank   is annotated with information to make predicate-argument structure easy to decode, including function tags and markers of empty categories that represent displaced constituents.",1,original
"The temperament domains are Novelty Seeking, Harm Avoidance, Reward Dependence, and Persistence, and the character domains are Self-Directedness, Cooperation, and Self-Transcendence.  Reliability of the Czech translation of the method is also satisfactory.",1,original
2.3 Classifier Training We chose maximum entropy   as our primary classifier because the highest performing systems in both the SemEval-2007 preposition sense disambiguation task   and the general word sense disambiguation task   used it.,1,original
3 Previous Work The idea of employing n-gram co-occurrence statistics to score the output of a computer system against one or more desired reference outputs was first successfully implemented in the BLEU metric for machine translation  .,1,original
"2 Evaluation Metrics Currently, the most widely used automatic MT evaluation metric is the NIST BLEU-4  .",1,original
Equol is similar in structure to estradiol   and is a more potent estrogen mimic than daidzein  .,1,original
evaluations on the widely used WSJ corpus of the Penn Treebank   show that the accuracy of these parsers still lags behind the state-of-theart.,1,original
"Because of this property, vector space models have been used successfully both in computational linguistics   and in cognitive science  .",1,original
"They have been successfully applied in several tasks, such as information retrieval   and harvesting thesauri  .",1,original
"Penn Treebank  was also used to induce part-of-speech   taggers because the corpus contains very precise and detailed POS markers as well as bracket, annotations.",1,original
"In the news article domain, ROUGE scores have been shown to be generally highly correlated with human evaluation in content match  .",1,original
Maximum entropy models   are a class of exponential models which require no unwarranted independence assumptions and have proven to be very successful in general for integrating information from disparate and possibly overlapping sources.,1,original
Apocynin is an effective inhibitor of NADPH oxidase  .,1,original
"The state-of-the-art SMT system Moses implements a distance-based reordering model   and a distortion model, operating with rewrite patterns extracted from a phrase alignment table  .",1,original
"It can be expected that the log-likelihood ratio produces an accurate ranking of word pairs that highly correlates with human judgment  , although there are other measures which come close in performance  .",1,original
"First, several of the best-performing parsers on the WSJ treebank   are cases of history-based models.",1,original
We report results using the well-known automatic evaluation metrics Bleu  .,1,original
"Our interpretation is more useful than past interpretations involving marginal constraints   or maximum-entropy models   as it can recover the exact formulation of interpolated Kneser-Ney, and actually produces superior results.",1,original
iero Search Refinements Huang and Chiang   offer several refinements to cube pruning to improve translation speed,1,original
"It is based on Incremental Sigmoid Belief Networks  , a class of directed graphical model for structure prediction problems recently proposed in  , where they were demonstrated to achieve competitive results on the constituent parsing task.",1,original
"In the area of statistical machine translation  , recently a combination of the BLEU evaluation metric   and the bootstrap method for statistical significance testing   has become popular  .",1,original
"…the finger BP measurement method  , a device that provides continuous non-invasive monitoring of beat-to-beat BP, and is therefore a useful non-invasive alternative to intra-arterial BP measurements  .",1,original
"Recently, graph-based methods have proved useful for a number of NLP and IR tasks such as document re-ranking in ad hoc IR   and analyzing sentiments in text  .",1,original
found good results with the OATS technique in 86-90% of patients after a follow-up period of three years  .,1,original
Section 4 describes the online training procedure and compares it to the well known perceptron training algorithm  .,1,original
The most widely used single-word-based statistical alignment models   have been proposed in  .,1,original
